account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,class
0.698242028,-0.345245102,1.601581215,1.220986636,1.59217704,0.469755016,1.592444756,-0.084763343,-0.055220371,-0.084569859,0.886014272,-0.461263149,0.885311874,-0.087231225,-0.613900837,-0.087840625,-0.443638544,0
-0.416034873,2.896492942,-0.624382948,-0.596931647,2.224012683,-1.4552632,2.224172837,-2.76936483,-0.608653769,-2.769739065,-0.071139867,-0.564337355,-0.071393777,-1.338693385,1.087243048,-1.342035136,0.341621628,0
-0.643955149,2.896492942,-0.624382948,-0.596931647,-0.220436,0.61783334,-0.220387284,-1.057559896,1.101958553,-1.05654517,-0.271381319,1.084849946,-0.271634495,-0.050423514,-0.613900837,-0.046942978,1.126881799,0
0.444997277,2.896492942,-0.624382948,-0.596931647,0.824027002,-0.122558282,0.824185392,0.374887982,0.045403884,0.374612723,0.069029149,0.930238636,0.070999622,-1.449116517,0.661957076,-1.451095528,-1.228898715,0
0.419672802,-0.345245102,-0.624382948,-0.596931647,0.107455384,-0.171917723,0.107937945,2.970332962,-1.011150786,2.971208639,0.307316476,-0.512800252,0.306838689,-0.565731463,-0.188614866,-0.564979841,-0.443638544,0
1.027460203,2.896492942,1.601581215,2.093587411,1.472441423,-0.813590462,1.472167197,0.402625562,0.548525155,0.402583235,2.521986931,-0.15204053,2.522835965,0.354461302,0.236671105,0.348400944,-1.228898715,0
-0.669279624,-0.345245102,-0.624382948,-0.596931647,0.166402149,1.30886552,0.166451352,-0.758390284,2.410073858,-0.758193036,-0.089161598,-0.306651839,-0.089192952,-0.41850062,0.236671105,-0.415021802,-1.228898715,0
-0.390710398,-0.345245102,1.601581215,1.366420098,0.326663668,1.901178818,0.326821431,1.569585175,-0.508029515,1.570352135,-2.225737887,-1.285856799,-2.225093941,1.311461777,-0.188614866,1.316311925,-0.443638544,0
-0.188114598,-0.345245102,-0.624382948,-0.596931647,0.221664742,0.667192782,0.221714014,0.327337845,0.548525155,0.327995202,-1.418764837,1.084849946,-1.419681276,-0.786577726,-0.613900837,-0.783100626,1.126881799,0
-0.618630674,-0.345245102,1.601581215,1.802720486,0.203243878,-1.702060408,0.203293127,0.220350037,-1.765832693,0.220774903,-0.695893196,0.414867605,-0.694364899,-0.087231225,0.236671105,-0.087840625,-0.443638544,0
-0.694604099,-0.345245102,-0.624382948,-0.596931647,0.842447866,-0.517433813,0.842606279,-0.835659257,-0.608653769,-0.835111946,-0.153238862,-1.337393903,-0.151490064,1.017000093,-1.039186808,1.016395846,-0.443638544,0
1.179407053,-0.345245102,-0.624382948,-0.596931647,-0.434118025,0.815271106,-0.433852862,0.753307823,-0.357093133,0.752214642,0.16714746,1.703295184,0.168895084,0.133615039,-0.188614866,0.130280159,-1.228898715,0
0.748890978,-0.345245102,-0.624382948,-0.596931647,0.079824087,0.568473899,0.079764823,-2.551426702,-0.055220371,-2.550636716,-0.373504459,-1.13124549,-0.373979751,-0.271269778,3.187126127,-0.265063762,-1.228898715,0
1.863167879,-0.345245102,-0.624382948,-0.596931647,-1.001480643,-1.208465993,-1.001649628,1.494297458,0.598837282,1.493433225,1.006159143,0.775627327,1.005456304,1.937192857,0.236671105,1.943409181,1.126881799,0
-1.099795699,-0.345245102,1.601581215,2.239020874,0.632450014,0.716552223,0.632391446,-0.209582452,0.598837282,-0.210437165,-0.355482729,0.775627327,-0.356180576,-0.271269778,-0.613900837,-0.265063762,-1.228898715,0
-2.036801275,-0.345245102,-0.624382948,-0.596931647,0.208770137,0.420395574,0.208711035,1.119840129,-0.809902277,1.120493058,-0.379511703,0.105644986,-0.378429544,-1.449116517,0.661957076,-1.451095528,-1.228898715,0
-1.302391499,-0.345245102,-0.624382948,-0.596931647,-1.093584964,0.815271106,-1.093754066,0.265918918,0.4479009,0.265061548,-0.435579309,-0.512800252,-0.436276863,0.317653591,-1.464472779,0.321135846,-0.443638544,0
